round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-06-15-1W,anthropic-claude-opus-4-7,anthropic,1,SEMICONDUCTORS,3500,35.0,1,0.03370421882243857,0.011796476587853499,"Strong momentum, AI capex tailwind, geopolitical de-escalation supports risk-on tech."
CB-2026-06-15-1W,anthropic-claude-opus-4-7,anthropic,1,NASDAQ100,2500,25.0,2,-0.007038319892498257,-0.0017595799731245643,FOMC dovish potential plus oil drop benefits growth/tech mega-caps.
CB-2026-06-15-1W,anthropic-claude-opus-4-7,anthropic,1,SOUTH_KOREA,1500,15.0,3,0.03580042563253727,0.00537006384488059,"Powerful momentum tied to semis cycle, leveraged to global tech rally."
CB-2026-06-15-1W,anthropic-claude-opus-4-7,anthropic,1,MOMENTUM,1500,15.0,4,0.0347390822168272,0.00521086233252408,Factor riding the tech/AI trend with broader diversification.
CB-2026-06-15-1W,anthropic-claude-opus-4-7,anthropic,1,BIOTECH,1000,10.0,5,0.07036725806415034,0.007036725806415034,"Rate-sensitive small-cap healthcare, benefits from dovish FOMC and improving risk appetite."
CB-2026-06-15-1W,anthropic-claude-opus-4-8,anthropic,1,SEMICONDUCTORS,3500,35.0,1,0.03370421882243857,0.011796476587853499,Strongest momentum proxy with broad AI-driven leadership; relief rally on Iran de-escalation and falling VIX favors high-beta tech into FOMC.
CB-2026-06-15-1W,anthropic-claude-opus-4-8,anthropic,1,NASDAQ100,2500,25.0,2,-0.007038319892498257,-0.0017595799731245643,Mega-cap growth leadership confirmed by +3.06% Nasdaq move; benefits from easing geopolitical risk and stable rates.
CB-2026-06-15-1W,anthropic-claude-opus-4-8,anthropic,1,MOMENTUM,2000,20.0,3,0.0347390822168272,0.006947816443365441,"Momentum factor leading all factors; trend persistence likely into a risk-on, de-escalation week."
CB-2026-06-15-1W,anthropic-claude-opus-4-8,anthropic,1,SOUTH_KOREA,1000,10.0,4,0.03580042563253727,0.003580042563253727,Semiconductor-heavy with explosive recent momentum; geopolitical relief supports export/chip cyclicals.
CB-2026-06-15-1W,anthropic-claude-opus-4-8,anthropic,1,FINANCIALS,1000,10.0,5,0.006106852127682805,0.0006106852127682806,Cyclical risk-on participation with steady curve; broad rally breadth supports financials into FOMC hold.
CB-2026-06-15-1W,google-gemini-3-1-pro,google,1,SEMICONDUCTORS,4000,40.0,1,0.03370421882243857,0.013481687528975429,"Strong recent momentum and high beta to the broader tech rally, positioning it well for a short-term continuation."
CB-2026-06-15-1W,google-gemini-3-1-pro,google,1,NASDAQ100,3000,30.0,2,-0.007038319892498257,-0.002111495967749477,Broad exposure to the leading tech and growth names driving the current market advance.
CB-2026-06-15-1W,google-gemini-3-1-pro,google,1,SOUTH_KOREA,2000,20.0,3,0.03580042563253727,0.007160085126507454,"High sensitivity to the semiconductor cycle and global trade, showing strong recent performance."
CB-2026-06-15-1W,google-gemini-3-1-pro,google,1,MOMENTUM,1000,10.0,4,0.0347390822168272,0.0034739082216827203,"Captures the prevailing trend in the market, which is currently favoring high-growth and tech-oriented equities."
CB-2026-06-15-1W,openai-gpt-5-5,openai,1,SEMICONDUCTORS,3500,35.0,1,0.03370421882243857,0.011796476587853499,Strongest liquid AI-related U.S. equity expression with exceptional 7-day and 30-day momentum; likely to benefit if risk appetite persists after the reported geopolitical de-escalation.
CB-2026-06-15-1W,openai-gpt-5-5,openai,1,TAIWAN,2000,20.0,2,0.048509918210021485,0.009701983642004298,Semiconductor-heavy country exposure with very strong recent momentum and direct linkage to global AI hardware demand.
CB-2026-06-15-1W,openai-gpt-5-5,openai,1,SOUTH_KOREA,2000,20.0,3,0.03580042563253727,0.007160085126507454,"Highest recent trailing return in the universe and leveraged to semiconductors, exports, and global risk-on flows, offering potential short-window continuation."
CB-2026-06-15-1W,openai-gpt-5-5,openai,1,MOMENTUM,1500,15.0,4,0.0347390822168272,0.00521086233252408,Broad U.S. momentum exposure captures trend persistence while diversifying beyond a single technology subsector or country.
CB-2026-06-15-1W,openai-gpt-5-5,openai,1,BIOTECH,1000,10.0,5,0.07036725806415034,0.007036725806415034,High-beta risk-on exposure with strong recent weekly performance and potential support if rates do not spike after the FOMC meeting.
CB-2026-06-15-1W,xai-grok-4-3,xai,1,SEMICONDUCTORS,3000,30.0,1,0.03370421882243857,0.01011126564673157,Strong recent momentum and semiconductor supply-chain exposure likely to benefit from risk-on sentiment post-Iran deal.
CB-2026-06-15-1W,xai-grok-4-3,xai,1,NASDAQ100,2500,25.0,2,-0.007038319892498257,-0.0017595799731245643,Heavy tech weighting aligns with observed 3.06% daily gain and continued AI-driven flows into the week.
CB-2026-06-15-1W,xai-grok-4-3,xai,1,MOMENTUM,2000,20.0,3,0.0347390822168272,0.006947816443365441,Factor has led recent performance and should capture short-term trend continuation ahead of FOMC.
CB-2026-06-15-1W,xai-grok-4-3,xai,1,TECHNOLOGY,1500,15.0,4,0.0030654257262534568,0.00045981385893801847,"Sector breadth supports outperformance in low-volatility, growth-favorable environment."
CB-2026-06-15-1W,xai-grok-4-3,xai,1,BIOTECH,1000,10.0,5,0.07036725806415034,0.007036725806415034,Recent 6.21% 7-day return and event-driven upside potential over the compressed trading week.
