round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-06-30-1M,anthropic-claude-opus-4-7,anthropic,1,INDUSTRIALS,2500,25.0,1,-0.036927063650596614,-0.009231765912649154,"Strong breadth leadership with 7.25% 30d return, low drawdown, supported by broadening rally and capex cycle."
CB-2026-06-30-1M,anthropic-claude-opus-4-7,anthropic,1,BIOTECH,2000,20.0,2,-0.042906793048973046,-0.00858135860979461,"Sector momentum with 15.88% 30d gain, near 52w high, healthcare catalysts and improving risk appetite."
CB-2026-06-30-1M,anthropic-claude-opus-4-7,anthropic,1,MID_CAP,2000,20.0,3,-0.022824536376604865,-0.0045649072753209735,Broadening rally beyond mega-caps; mid-caps at 52w highs with solid risk-adjusted profile.
CB-2026-06-30-1M,anthropic-claude-opus-4-7,anthropic,1,HEALTHCARE,1500,15.0,4,0.030631539140300035,0.004594730871045005,"Defensive with positive momentum (+6.61% 30d), low beta, supportive if growth cools."
CB-2026-06-30-1M,anthropic-claude-opus-4-7,anthropic,1,SEMICONDUCTORS,2000,20.0,5,-0.17836832395676105,-0.035673664791352214,"TSMC July sales/earnings catalysts within window; strong trend, though high volatility warrants sized exposure."
CB-2026-06-30-1M,anthropic-claude-opus-4-8,anthropic,1,INDUSTRIALS,2500,25.0,1,-0.036927063650596614,-0.009231765912649154,"Strong broad-based momentum with +8.3% 30d alpha and 65% up-day share; cyclical strength supported by resilient consumer income/spending data, less concentrated risk than semis."
CB-2026-06-30-1M,anthropic-claude-opus-4-8,anthropic,1,FINANCIALS,2000,20.0,2,0.06323447118074976,0.012646894236149953,"Positive rate backdrop with steady yields and Q2 bank earnings (JPM, WFC July 14) as near-term catalysts; solid 30d alpha with low volatility and drawdown."
CB-2026-06-30-1M,anthropic-claude-opus-4-8,anthropic,1,HEALTHCARE,2000,20.0,3,0.030631539140300035,0.006126307828060007,"Defensive sector with strong recent breadth (+7.6% 30d alpha), low beta 0.37, and improving momentum; hedges equity drawdown risk while participating in upside."
CB-2026-06-30-1M,anthropic-claude-opus-4-8,anthropic,1,EQUAL_WEIGHT_SP500,2000,20.0,4,0.012266766931428252,0.0024533533862856507,"Broad diversified US large-cap exposure with lower mega-cap concentration; positive 30d alpha, modest volatility, near 52w high without the semis crowding risk."
CB-2026-06-30-1M,anthropic-claude-opus-4-8,anthropic,1,REGIONAL_BANKS,1500,15.0,5,0.014028056112224574,0.002104208416833686,"High up-day share (80%) and strong 30d alpha; benefits from stable rate environment and bank earnings catalysts, though higher-risk cyclical tilt."
CB-2026-06-30-1M,google-gemini-3-1-pro,google,1,SEMICONDUCTORS,4000,40.0,1,-0.17836832395676105,-0.07134732958270443,"Strong momentum in the semiconductor sector, supported by upcoming TSMC sales and earnings catalysts in July."
CB-2026-06-30-1M,google-gemini-3-1-pro,google,1,SMALL_CAP,3000,30.0,2,-0.026160758861707434,-0.00784822765851223,"Historic first-half strength in small caps suggests potential continuation, balancing mega-cap tech exposure."
CB-2026-06-30-1M,google-gemini-3-1-pro,google,1,HEALTHCARE,3000,30.0,3,0.030631539140300035,0.00918946174209001,"Provides defensive growth and diversification, showing recent positive momentum amidst mixed consumer data."
CB-2026-06-30-1M,openai-gpt-5-5,openai,1,SEMICONDUCTORS,3500,35.0,1,-0.17836832395676105,-0.062428913384866364,Semiconductor shares showed exceptional recent strength with independent near-term catalysts from TSMC June sales and Q2 results before the exit date; allocation accepts very high volatility and reversal risk.
CB-2026-06-30-1M,openai-gpt-5-5,openai,1,BIOTECH,2000,20.0,2,-0.042906793048973046,-0.00858135860979461,"Biotech had strong recent relative performance and can benefit from risk appetite and stable-to-lower rate expectations; briefing support beyond price action is limited, so position size is moderate."
CB-2026-06-30-1M,openai-gpt-5-5,openai,1,TAIWAN,1500,15.0,3,-0.13451800018414506,-0.02017770002762176,"Taiwan provides semiconductor supply-chain exposure with near-term TSMC catalysts and strong recent relative performance, while diversifying away from pure U.S. sector exposure."
CB-2026-06-30-1M,openai-gpt-5-5,openai,1,MOMENTUM,1500,15.0,4,-0.12851850771519413,-0.01927777615727912,"Momentum factor exposure targets continuation in recent market leadership, supported by broad first-half equity strength but vulnerable to factor rotation after large gains."
CB-2026-06-30-1M,openai-gpt-5-5,openai,1,INDUSTRIALS,1500,15.0,5,-0.036927063650596614,-0.005539059547589492,"Industrials showed broadening market leadership, positive recent relative performance, and less extreme beta than semiconductor-heavy positions, adding cyclical participation."
CB-2026-06-30-1M,xai-grok-4-3,xai,1,SMALL_CAP,3000,30.0,1,-0.026160758861707434,-0.00784822765851223,Strong first-half Russell 2000 performance and positive 30d returns amid domestic growth data.
CB-2026-06-30-1M,xai-grok-4-3,xai,1,BIOTECH,2500,25.0,2,-0.042906793048973046,-0.010726698262243262,Leading 30d return with upcoming earnings and clinical catalysts before exit.
CB-2026-06-30-1M,xai-grok-4-3,xai,1,INDUSTRIALS,2000,20.0,3,-0.036927063650596614,-0.0073854127301193236,Solid 30d gains and exposure to domestic demand ahead of July data releases.
CB-2026-06-30-1M,xai-grok-4-3,xai,1,HEALTHCARE,1500,15.0,4,0.030631539140300035,0.004594730871045005,Positive 30d performance and defensive characteristics through PCE and employment prints.
CB-2026-06-30-1M,xai-grok-4-3,xai,1,MOMENTUM,1000,10.0,5,-0.12851850771519413,-0.012851850771519414,Highest 30d factor return with trend persistence likely into early July.
