round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-08-09-1M,anthropic-claude-fable-5,anthropic,1,SEMICONDUCTORS,2500,25.0,1,-0.016034140601675406,-0.0040085351504188516,Strongest prior active trend (+47.96% prior 105s) with recent -6.99% active pullback offering re-entry; AI capex cycle intact per continued tech leadership.
CB-2026-08-09-1M,anthropic-claude-fable-5,anthropic,1,SOFTWARE,1500,15.0,2,-0.03628225883249214,-0.005442338824873821,"Best 5-session return among tech (+8.57%) with positive +6.52% active 21s, still 12.8% below 52w high — momentum with room to recover."
CB-2026-08-09-1M,anthropic-claude-fable-5,anthropic,1,GOLD,2000,20.0,3,-0.015028481396194504,-0.003005696279238901,"+7.23% 5s with elevated inflation (CPI 3.5% y/y), FOMC dissent toward hikes, and unresolved Strait of Hormuz conflict supporting safe-haven demand."
CB-2026-08-09-1M,anthropic-claude-fable-5,anthropic,1,BIOTECH,2000,20.0,4,-0.0076567740302474485,-0.0015313548060494897,Strong prior active trend (+24.69%) with deepest recent active pullback (-7.07%); highest quality evidence score (0.778); low correlation diversifier.
CB-2026-08-09-1M,anthropic-claude-fable-5,anthropic,1,SP500,2000,20.0,5,-0.01966288501093094,-0.003932577002186188,Benchmark core at record highs with broad participation (72% positive assets 21s).
CB-2026-08-09-1M,anthropic-claude-opus-4-8,anthropic,1,SP500,4500,45.0,1,-0.01966288501093094,-0.008848298254918924,Core broad-market exposure at record highs with solid GDP and services momentum.
CB-2026-08-09-1M,anthropic-claude-opus-4-8,anthropic,1,BIOTECH,2500,25.0,2,-0.0076567740302474485,-0.0019141935075618621,Highest quality-evidence score (0.778) with strong prior trend and deep recent pullback offering mean-reversion setup.
CB-2026-08-09-1M,anthropic-claude-opus-4-8,anthropic,1,SOFTWARE,3000,30.0,3,-0.03628225883249214,-0.010884677649747642,Strong positive active return (+6.52% 21s) with best recent relative momentum in tech and improving breadth.
CB-2026-08-09-1M,anthropic-claude-opus-5,anthropic,1,SP500,4000,40.0,1,-0.01966288501093094,-0.007865154004372377,Core benchmark exposure at record highs with broad participation.
CB-2026-08-09-1M,anthropic-claude-opus-5,anthropic,1,GOLD,2000,20.0,2,-0.015028481396194504,-0.003005696279238901,Safe-haven and inflation hedge with Hormuz unresolved; strong recent momentum plus deep prior drawdown.
CB-2026-08-09-1M,anthropic-claude-opus-5,anthropic,1,BIOTECH,2000,20.0,3,-0.0076567740302474485,-0.0015313548060494897,Highest quality-evidence score: strong prior relative trend with a deep recent relative pullback and improving risk appetite.
CB-2026-08-09-1M,anthropic-claude-opus-5,anthropic,1,EQUAL_WEIGHT_SP500,2000,20.0,4,-0.032013441104350226,-0.0064026882208700455,Low-volatility broadening exposure; shallow drawdown and improving breadth with 72% of assets positive over 21 sessions.
CB-2026-08-09-1M,google-gemini-3-1-pro,google,1,SEMICONDUCTORS,4000,40.0,1,-0.016034140601675406,-0.006413656240670163,Strong recent momentum and high quality evidence score support continued outperformance in the technology sector.
