round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-07-01-1W,anthropic-claude-fable-5,anthropic,1,HEALTHCARE,2500,25.0,1,0.017299736743136673,0.004324934185784168,Broad 30-day strength with low beta (0.37) and defensive character supports continuation into a data-heavy week; sector rotation toward defensives amid sticky 4.1% PCE inflation.
CB-2026-07-01-1W,anthropic-claude-fable-5,anthropic,1,BIOTECH,2000,20.0,2,0.04100926221654411,0.008201852443308821,"Strong recent breadth (66.7% up days, near 52w high) with healthcare sector rotation support; higher beta captures upside if risk appetite holds."
CB-2026-07-01-1W,anthropic-claude-fable-5,anthropic,1,FINANCIALS,2000,20.0,3,0.0034684191310696555,0.0006936838262139311,"Value/financials rotation evident (+6.9% 30d, 61.9% up days) with upcoming bank earnings anticipation and moderate beta; sticky inflation and 4.48% 10y support net interest margins."
CB-2026-07-01-1W,anthropic-claude-fable-5,anthropic,1,LARGE_VALUE,2000,20.0,4,0.005412497949811357,0.0010824995899622713,"Value outperforming growth amid sticky inflation; lower volatility and near 52w highs, benefits from broadening market breadth."
CB-2026-07-01-1W,anthropic-claude-fable-5,anthropic,1,EQUAL_WEIGHT_SP500,1500,15.0,5,-0.005669837402183631,-0.0008504756103275445,Most stocks rising while mega-cap tech lags; equal-weight captures breadth broadening at new highs with low drawdown.
CB-2026-07-01-1W,anthropic-claude-opus-4-7,anthropic,1,HEALTHCARE,3000,30.0,1,0.017299736743136673,0.005189921022941002,"Strong recent leadership (+8.4% 30d, +9.8% vs SPY) with defensive characteristics ahead of jobs data and holiday-shortened week; low beta cushions downside."
CB-2026-07-01-1W,anthropic-claude-opus-4-7,anthropic,1,FINANCIALS,2000,20.0,2,0.0034684191310696555,0.0006936838262139311,Broadening rally beneficiary with steady momentum (+6.9% 30d); benefits from firm rates and upcoming bank earnings positioning.
CB-2026-07-01-1W,anthropic-claude-opus-4-7,anthropic,1,INDUSTRIALS,2000,20.0,3,-0.016034031413612704,-0.003206806282722541,ISM manufacturing still expansionary at 53.3 with new orders 56.0; industrials showing consistent breadth (+6.6% 30d).
CB-2026-07-01-1W,anthropic-claude-opus-4-7,anthropic,1,BIOTECH,1500,15.0,4,0.04100926221654411,0.006151389332481616,Strongest 30d momentum (+17.3%) with catalyst-rich window; supported by broader healthcare leadership.
CB-2026-07-01-1W,anthropic-claude-opus-4-7,anthropic,1,EQUAL_WEIGHT_SP500,1500,15.0,5,-0.005669837402183631,-0.0008504756103275445,"Diversified market breadth exposure that has outperformed cap-weighted SPY, hedging against mega-cap tech weakness noted in briefing."
