round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-07-17-1M,anthropic-claude-fable-5,anthropic,1,LARGE_VALUE,2500,25.0,1,0.03463290730959967,0.008658226827399917,"Value rotation underway: +2.77% active over 21 sessions, low drawdown, near 52w high, supported by soft CPI and cooling labor data favoring lower-beta value."
CB-2026-07-17-1M,anthropic-claude-fable-5,anthropic,1,EQUAL_WEIGHT_SP500,2500,25.0,2,0.03477527299995309,0.008693818249988272,Breadth broadening: RSP-SPY spread +1.64% over 21 sessions with lowest volatility among equity options; benefits from concentration unwind.
CB-2026-07-17-1M,anthropic-claude-fable-5,anthropic,1,HEALTHCARE,2500,25.0,3,0.036997951455707945,0.009249487863926986,Strongest sector active return (+6.48% over 21s) with low beta (0.33) and modest drawdown; defensive rotation beneficiary after prior underperformance.
CB-2026-07-17-1M,anthropic-claude-fable-5,anthropic,1,FINANCIALS,2500,25.0,4,0.02346249555634561,0.005865623889086402,"+4.56% active over 21 sessions, near 52w high, supported by steep 2s/30s curve (4.18%/5.06%) benefiting net interest margins."
CB-2026-07-17-1M,anthropic-claude-opus-4-7,anthropic,1,SP500,4000,40.0,1,0.03952696793983512,0.01581078717593405,Core benchmark exposure amid tech-led pullback
CB-2026-07-17-1M,anthropic-claude-opus-4-7,anthropic,1,HEALTHCARE,2500,25.0,2,0.036997951455707945,0.009249487863926986,"Strong 21s active return (+6.48%), defensive, low beta, near highs"
CB-2026-07-17-1M,anthropic-claude-opus-4-7,anthropic,1,FINANCIALS,2000,20.0,3,0.02346249555634561,0.004692499111269122,"Positive momentum (+4.56% 21s), steep curve, resilient in weak tape"
CB-2026-07-17-1M,anthropic-claude-opus-4-7,anthropic,1,LOW_VOL,1500,15.0,4,-0.00900222259313288,-0.001350333388969932,"Defensive factor showing +3.66% active return, low drawdown"
CB-2026-07-17-1M,anthropic-claude-opus-4-8,anthropic,1,HEALTHCARE,3000,30.0,1,0.036997951455707945,0.011099385436712383,"Defensive sector with strong 21s active return (+6.48%), low beta (0.33), and low drawdown; benefits from rotation out of tech."
CB-2026-07-17-1M,anthropic-claude-opus-4-8,anthropic,1,FINANCIALS,2500,25.0,2,0.02346249555634561,0.005865623889086402,"Positive momentum (+4.56% 21s active), low volatility, steepening curve supportive of bank margins."
CB-2026-07-17-1M,anthropic-claude-opus-4-8,anthropic,1,DIVIDEND,2500,25.0,3,0.04193254329990892,0.01048313582497723,Low beta defensive dividend equity with positive 5s (+1.57%) and 21s (+2.66%) active returns amid market decline.
CB-2026-07-17-1M,anthropic-claude-opus-4-8,anthropic,1,SP500,2000,20.0,4,0.03952696793983512,0.007905393587967024,Core benchmark exposure to hedge against a tech rebound.
CB-2026-07-17-1M,google-gemini-3-1-pro,google,1,OIL,4000,40.0,1,0.05106485963213947,0.020425943852855788,Strong recent momentum and tight supply dynamics support continued outperformance.
CB-2026-07-17-1M,google-gemini-3-1-pro,google,1,REGIONAL_BANKS,3000,30.0,2,0.009127656800104411,0.002738297040031323,Stable rates and positive economic growth provide a favorable environment for regional banks.
